epoch,train_loss,val_loss
1,11.5837,8.1744
2,8.1144,6.4082
3,6.9806,5.3310
4,6.2674,4.8816
5,5.8762,4.4104
6,5.5770,4.1583
7,5.3218,4.0282
8,5.1455,3.8715
9,4.9677,3.5740
10,4.8563,3.3485
11,4.7422,3.4568
12,4.6488,3.2474
13,4.5365,3.1603
14,4.4917,3.2386
15,4.4274,3.0808
16,4.3629,3.1339
17,4.3307,2.9861
18,4.2918,2.9689
19,4.2301,2.9611
20,4.1665,2.9779
21,4.1545,2.8579
22,4.0692,2.8482
23,4.0626,2.8065
24,4.0115,2.7952
25,4.0257,2.8501
26,3.9873,2.8808
27,3.9372,2.7584
28,3.9270,2.7986
29,3.9048,2.6562
30,3.8675,2.5509
31,3.8539,2.5896
32,3.8382,2.6620
33,3.8135,2.6689
34,3.8028,2.6254
35,3.7636,2.5243
36,3.7475,2.5120
37,3.7263,2.5998
38,3.7228,2.5148
39,3.6800,2.5973
40,3.6600,2.5889
41,3.6535,2.5410
42,3.6715,2.4799
43,3.6200,2.5567
44,3.5918,2.5530
45,3.6043,2.4824
46,3.6003,2.4685
47,3.5890,2.4373
48,3.5692,2.4693
49,3.5709,2.4433
50,3.5570,2.4649
51,3.5380,2.4718
52,3.5227,2.5032
53,3.5279,2.4431
54,3.5215,2.3892
55,3.5262,2.4060
56,3.5086,2.4771
57,3.4943,2.3875
58,3.4859,2.5071
59,3.4937,2.4367
60,3.4895,2.4036
61,3.4795,2.4352
62,3.4893,2.3286
63,3.4743,2.4821
64,3.4523,2.4037
65,3.4380,2.3345
66,3.4021,2.3723
67,3.4472,2.3289
68,3.4384,2.3133
69,3.4139,2.3513
70,3.4306,2.3363
71,3.4033,2.3704
72,3.3855,2.2890
73,3.4097,2.2800
74,3.3952,2.3086
75,3.4292,2.3330
76,3.3824,2.2899
77,3.3857,2.2939
78,3.3529,2.2731
79,3.3694,2.2935
80,3.3643,2.3971
81,3.3392,2.3135
82,3.3559,2.2696
83,3.3494,2.2709
84,3.3346,2.2719
85,3.3199,2.2210
86,3.3320,2.2654
87,3.3252,2.2227
88,3.3381,2.2482
89,3.2997,2.2183
90,3.3180,2.2832
91,3.3140,2.3201
92,3.2953,2.2554
93,3.3283,2.2179
94,3.2879,2.2176
95,3.2841,2.2162
96,3.2763,2.2056
97,3.2705,2.2469
98,3.2865,2.2613
99,3.2671,2.1945
100,3.2824,2.2155
101,3.2850,2.2581
102,3.2556,2.2249
103,3.2622,2.2342
104,3.2686,2.3141
105,3.2575,2.2508
106,3.2759,2.2316
107,3.2726,2.2742
108,3.2662,2.1643
109,3.2510,2.2509
110,3.2478,2.2932
111,3.2379,2.2225
112,3.2352,2.1900
113,3.2453,2.1757
114,3.2297,2.2675
115,3.2163,2.1825
116,3.2229,2.2023
117,3.2273,2.2063
118,3.2256,2.1748
